# mass(g) temperature(K) clouds reduced_chi_squared
2.9850000000000005e+28 300 None 182.0786082738029
2.9850000000000005e+28 400 None 613.3898579418953
2.9850000000000005e+28 500 None 3849.6914458324627
2.9850000000000005e+28 600 None 136958.735346927
2.9850000000000005e+28 700 None 7637541195.934188
2.9850000000000005e+28 800 None 27088843433.684143
2.9850000000000005e+28 900 None 1581455873.523346
2.9850000000000005e+28 1000 None 11314250942.121416
2.9850000000000005e+28 1100 None 988277392.8388273
2.9850000000000005e+28 1200 None 543332082.8426085
2.9850000000000005e+28 1300 None 1940998009.3055563
2.9850000000000005e+28 1400 None 36508715.63038836
2.9850000000000005e+28 1500 None 6273783.789713486
2.9850000000000005e+28 1600 None 1815651.2875287267
2.9850000000000005e+28 1700 None 167426.6916300749
2.9850000000000005e+28 1800 None 5173.395305631965
2.9850000000000005e+28 1900 None 48.38962015194864
2.9850000000000005e+28 2000 None 46.29029596989122
5.970000000000001e+28 300 None 33.08099139065315
5.970000000000001e+28 400 None 50.637600773592204
5.970000000000001e+28 500 None 107.5701221017747
5.970000000000001e+28 600 None 278.78172300044474
5.970000000000001e+28 700 None 735.0172436386773
5.970000000000001e+28 800 None 1916.089176890515
5.970000000000001e+28 900 None 5147.296285651864
5.970000000000001e+28 1000 None 15803.64807666047
5.970000000000001e+28 1100 None 66113.7498315132
5.970000000000001e+28 1200 None 617097.1368850849
5.970000000000001e+28 1300 None 138609443.41178414
5.970000000000001e+28 1400 None 31323655409.97758
5.970000000000001e+28 1500 None 8231288451.355434
5.970000000000001e+28 1600 None 46569820390.54126
5.970000000000001e+28 1700 None 16787925195.47449
5.970000000000001e+28 1800 None 1661847485.2719858
5.970000000000001e+28 1900 None 2629546330.2744803
5.970000000000001e+28 2000 None 1083842547.0235147
8.955e+28 300 None 23.396514779959844
8.955e+28 400 None 20.403286033459278
8.955e+28 500 None 24.80569300465542
8.955e+28 600 None 49.471088558344235
8.955e+28 700 None 112.05974298324055
8.955e+28 800 None 240.49294096520828
8.955e+28 900 None 471.48923221986166
8.955e+28 1000 None 876.1897546079554
8.955e+28 1100 None 1571.8032275878377
8.955e+28 1200 None 2808.686894814319
8.955e+28 1300 None 5111.346697348442
8.955e+28 1400 None 9758.78370355171
8.955e+28 1500 None 20178.407330012335
8.955e+28 1600 None 47912.35616965384
8.955e+28 1700 None 144889.63421388695
8.955e+28 1800 None 711991.1775819238
8.955e+28 1900 None 11852140.646428727
8.955e+28 2000 None 178122940150.25067
1.1940000000000002e+29 300 None 23.856566467862294
1.1940000000000002e+29 400 None 17.346313229578378
1.1940000000000002e+29 500 None 13.416250963382891
1.1940000000000002e+29 600 None 15.553762990344632
1.1940000000000002e+29 700 None 30.313817175230735
1.1940000000000002e+29 800 None 64.33592085595818
1.1940000000000002e+29 900 None 122.32753457831518
1.1940000000000002e+29 1000 None 213.9550765518083
1.1940000000000002e+29 1100 None 347.3858944656472
1.1940000000000002e+29 1200 None 539.8046745315228
1.1940000000000002e+29 1300 None 815.252495736689
1.1940000000000002e+29 1400 None 1217.5082071520058
1.1940000000000002e+29 1500 None 1812.2281571889464
1.1940000000000002e+29 1600 None 2715.5132592345826
1.1940000000000002e+29 1700 None 4128.194025595387
1.1940000000000002e+29 1800 None 6428.386143135188
1.1940000000000002e+29 1900 None 10355.896537209152
1.1940000000000002e+29 2000 None 17571.58016322404
1.4925000000000001e+29 300 None 25.873680228422995
1.4925000000000001e+29 400 None 18.7055974513942
1.4925000000000001e+29 500 None 12.51087113811497
1.4925000000000001e+29 600 None 9.223786587186115
1.4925000000000001e+29 700 None 11.45142615469608
1.4925000000000001e+29 800 None 21.87210304519458
1.4925000000000001e+29 900 None 42.30774045125605
1.4925000000000001e+29 1000 None 74.96590596543932
1.4925000000000001e+29 1100 None 120.13821730722235
1.4925000000000001e+29 1200 None 180.2266657067229
1.4925000000000001e+29 1300 None 259.2000926051758
1.4925000000000001e+29 1400 None 362.14865745536855
1.4925000000000001e+29 1500 None 497.13200253473804
1.4925000000000001e+29 1600 None 674.8437880298467
1.4925000000000001e+29 1700 None 911.8052825379617
1.4925000000000001e+29 1800 None 1230.7708531115175
1.4925000000000001e+29 1900 None 1663.6313911195762
1.4925000000000001e+29 2000 None 2263.8845293034055
1.791e+29 300 None 27.92613935293488
1.791e+29 400 None 20.927631882710898
1.791e+29 500 None 14.289038139737105
1.791e+29 600 None 9.037377503698613
1.791e+29 700 None 6.926120153494048
1.791e+29 800 None 9.576402353959494
1.791e+29 900 None 17.147913158977634
1.791e+29 1000 None 30.67445813477796
1.791e+29 1100 None 49.86818983556742
1.791e+29 1200 None 75.01218880959452
1.791e+29 1300 None 106.74756410637298
1.791e+29 1400 None 145.61617810916306
1.791e+29 1500 None 193.80305994599524
1.791e+29 1600 None 253.6867644939844
1.791e+29 1700 None 327.74099478761565
1.791e+29 1800 None 420.1641903229167
1.791e+29 1900 None 535.219347327356
1.791e+29 2000 None 679.9351899796973
2.0895000000000002e+29 300 None 29.73500290016652
2.0895000000000002e+29 400 None 23.13238587737924
2.0895000000000002e+29 500 None 16.617938954052786
2.0895000000000002e+29 600 None 10.783157892258057
2.0895000000000002e+29 700 None 6.849897063311868
2.0895000000000002e+29 800 None 5.943892256361918
2.0895000000000002e+29 900 None 8.411805047989109
2.0895000000000002e+29 1000 None 14.484253016867275
2.0895000000000002e+29 1100 None 23.350472011613668
2.0895000000000002e+29 1200 None 35.18914395684529
2.0895000000000002e+29 1300 None 49.99662936379808
2.0895000000000002e+29 1400 None 68.04736206746371
2.0895000000000002e+29 1500 None 89.79844650828076
2.0895000000000002e+29 1600 None 115.69265096902664
2.0895000000000002e+29 1700 None 146.3806430504879
2.0895000000000002e+29 1800 None 183.30698293299065
2.0895000000000002e+29 1900 None 227.39317691909557
2.0895000000000002e+29 2000 None 280.0670879804725
2.3880000000000004e+29 300 None 31.278141680836395
2.3880000000000004e+29 400 None 25.115100761403426
2.3880000000000004e+29 500 None 18.90902585343955
2.3880000000000004e+29 600 None 13.015048078942552
2.3880000000000004e+29 700 None 8.359338921388561
2.3880000000000004e+29 800 None 5.812620365303368
2.3880000000000004e+29 900 None 5.653446843361466
2.3880000000000004e+29 1000 None 7.9783063075643375
2.3880000000000004e+29 1100 None 12.365567089735762
2.3880000000000004e+29 1200 None 18.52665669024293
2.3880000000000004e+29 1300 None 26.02877111536259
2.3880000000000004e+29 1400 None 35.16574048299049
2.3880000000000004e+29 1500 None 46.06847198134225
2.3880000000000004e+29 1600 None 58.89156692345171
2.3880000000000004e+29 1700 None 74.07602636721292
2.3880000000000004e+29 1800 None 91.93036447640124
2.3880000000000004e+29 1900 None 112.37021969282006
