# mass(g) temperature(K) clouds reduced_chi_squared
1.194e+28 300 None 102220469.68698709
1.194e+28 400 None 1608945373.439841
1.194e+28 500 None 1475407199.7735355
1.194e+28 600 None 43316932076.61611
1.194e+28 700 None 1393868250.655622
1.194e+28 800 None 212822599.7347292
1.194e+28 900 None 221456778.9517285
1.194e+28 1000 None 15624381.81112408
1.194e+28 1100 None 2290493.406861697
1.194e+28 1200 None 146666.0205515317
1.194e+28 1300 None 12057.816145238183
1.194e+28 1400 None 2293.0146806214143
1.194e+28 1500 None 2577.095958541803
1.194e+28 1600 None 2576.3802371691845
1.194e+28 1700 None 2577.1745675185207
1.194e+28 1800 None 2577.4175214921434
1.194e+28 1900 None 2577.4175175363807
1.194e+28 2000 None 2577.4175215021273
2.388e+28 300 None 1150.9061926904676
2.388e+28 400 None 591.7398335422205
2.388e+28 500 None 386116.550551255
2.388e+28 600 None 1273030924.5132468
2.388e+28 700 None 9513401988049.275
2.388e+28 800 None 9734057357.031921
2.388e+28 900 None 445632763.2601737
2.388e+28 1000 None 2506992036.479106
2.388e+28 1100 None 603781442.2246892
2.388e+28 1200 None 1158516462.4713724
2.388e+28 1300 None 45432322.97303268
2.388e+28 1400 None 6249429.704093767
2.388e+28 1500 None 453790.7553676638
2.388e+28 1600 None 15122.280055370342
2.388e+28 1700 None 2475.8280141915866
2.388e+28 1800 None 2577.20194673387
2.388e+28 1900 None 2577.408163229619
2.388e+28 2000 None 2577.417078069234
3.5820000000000003e+28 300 None 1606.9121194920465
3.5820000000000003e+28 400 None 1033.4305836926098
3.5820000000000003e+28 500 None 324.12162531808957
3.5820000000000003e+28 600 None 1411.2283509149665
3.5820000000000003e+28 700 None 71418.94309978584
3.5820000000000003e+28 800 None 53324829253.15733
3.5820000000000003e+28 900 None 4110377676.8626823
3.5820000000000003e+28 1000 None 32412059971.669827
3.5820000000000003e+28 1100 None 939926487.3952482
3.5820000000000003e+28 1200 None 10276268455.516119
3.5820000000000003e+28 1300 None 6971219665.216067
3.5820000000000003e+28 1400 None 498838721.2699853
