# mass(g) temperature(K) clouds reduced_chi_squared
2.9850000000000005e+28 300 None 117.67097348190482
2.9850000000000005e+28 400 None 455.38893243810986
2.9850000000000005e+28 500 None 3446.8186441614907
2.9850000000000005e+28 600 None 134501.5598100472
2.9850000000000005e+28 700 None 7612223306.456818
2.9850000000000005e+28 800 None 27009557309.66986
2.9850000000000005e+28 900 None 1576938096.0245616
2.9850000000000005e+28 1000 None 11284772625.684334
2.9850000000000005e+28 1100 None 985819728.8787098
2.9850000000000005e+28 1200 None 542191466.9347868
2.9850000000000005e+28 1300 None 1938372517.911466
2.9850000000000005e+28 1400 None 36419910.86531247
2.9850000000000005e+28 1500 None 6255037.031583019
2.9850000000000005e+28 1600 None 1807097.6112131411
2.9850000000000005e+28 1700 None 165265.89197192888
2.9850000000000005e+28 1800 None 4931.268617910923
2.9850000000000005e+28 1900 None 99.00221564048326
2.9850000000000005e+28 2000 None 111.31736776446385
5.970000000000001e+28 300 None 36.44805987352921
5.970000000000001e+28 400 None 26.166173050570272
5.970000000000001e+28 500 None 48.289605852385264
5.970000000000001e+28 600 None 168.76663048675988
5.970000000000001e+28 700 None 549.2944037841861
5.970000000000001e+28 800 None 1614.308314081425
5.970000000000001e+28 900 None 4653.3024528175265
5.970000000000001e+28 1000 None 14935.849497047437
5.970000000000001e+28 1100 None 64292.70411696043
5.970000000000001e+28 1200 None 610541.3542758112
5.970000000000001e+28 1300 None 138137270.19070965
5.970000000000001e+28 1400 None 31227976429.73803
5.970000000000001e+28 1500 None 8205919426.469755
5.970000000000001e+28 1600 None 46469101907.61169
5.970000000000001e+28 1700 None 16756370460.249975
5.970000000000001e+28 1800 None 1658577688.8147414
5.970000000000001e+28 1900 None 2625750174.9835825
5.970000000000001e+28 2000 None 1082527896.6193707
8.955e+28 300 None 47.17110671019941
8.955e+28 400 None 26.93009665437003
8.955e+28 500 None 12.660006692050327
8.955e+28 600 None 13.393274651972636
8.955e+28 700 None 45.95897539293735
8.955e+28 800 None 137.09491890070748
8.955e+28 900 None 323.26998531832055
8.955e+28 1000 None 671.3650249419072
8.955e+28 1100 None 1295.4942983143974
8.955e+28 1200 None 2436.8053338008817
8.955e+28 1300 None 4605.675062344764
8.955e+28 1400 None 9052.936906239433
8.955e+28 1500 None 19148.987202549877
8.955e+28 1600 None 46288.50288498854
8.955e+28 1700 None 141915.9774550565
8.955e+28 1800 None 704375.0022688987
8.955e+28 1900 None 11795668.084452737
8.955e+28 2000 None 177606774185.14825
1.1940000000000002e+29 300 None 58.10066388346002
1.1940000000000002e+29 400 None 38.91230322751802
1.1940000000000002e+29 500 None 21.490287736029618
1.1940000000000002e+29 600 None 8.236215816346842
1.1940000000000002e+29 700 None 4.806098502684147
1.1940000000000002e+29 800 None 17.78299531239922
1.1940000000000002e+29 900 None 52.67396258919712
1.1940000000000002e+29 1000 None 118.51699821756556
1.1940000000000002e+29 1100 None 222.8510386507242
1.1940000000000002e+29 1200 None 382.2087068207317
1.1940000000000002e+29 1300 None 619.3306648294854
1.1940000000000002e+29 1400 None 975.1813220610536
1.1940000000000002e+29 1500 None 1512.8305761015504
1.1940000000000002e+29 1600 None 2345.5288493386447
1.1940000000000002e+29 1700 None 3667.077960893669
1.1940000000000002e+29 1800 None 5846.55657630471
1.1940000000000002e+29 1900 None 9608.521189072353
1.1940000000000002e+29 2000 None 16584.64760745386
1.4925000000000001e+29 300 None 66.34704482379072
1.4925000000000001e+29 400 None 49.26480280276296
1.4925000000000001e+29 500 None 32.81899585228859
1.4925000000000001e+29 600 None 17.6436637873337
1.4925000000000001e+29 700 None 6.553605494389844
1.4925000000000001e+29 800 None 2.66759094208846
1.4925000000000001e+29 900 None 8.196344402841437
1.4925000000000001e+29 1000 None 24.893664149625984
1.4925000000000001e+29 1100 None 53.04481030832499
1.4925000000000001e+29 1200 None 95.52559200041006
1.4925000000000001e+29 1300 None 155.2660067985021
1.4925000000000001e+29 1400 None 236.67037848424647
1.4925000000000001e+29 1500 None 347.7729393040325
1.4925000000000001e+29 1600 None 498.15186017448036
1.4925000000000001e+29 1700 None 703.5315942414562
1.4925000000000001e+29 1800 None 985.8262203262166
1.4925000000000001e+29 1900 None 1375.7940483090272
1.4925000000000001e+29 2000 None 1925.0819228063444
1.791e+29 300 None 72.53682136691029
1.791e+29 400 None 57.39377699681555
1.791e+29 500 None 42.49019113802971
1.791e+29 600 None 27.83912212922585
1.791e+29 700 None 15.206200620346447
1.791e+29 800 None 6.536895539710449
1.791e+29 900 None 3.1225685276604227
1.791e+29 1000 None 5.335783500625368
1.791e+29 1100 None 13.254898915360911
1.791e+29 1200 None 26.95470383347146
1.791e+29 1300 None 46.39361035120893
1.791e+29 1400 None 72.63089412328368
1.791e+29 1500 None 107.33998218447313
1.791e+29 1600 None 152.5366089867647
1.791e+29 1700 None 210.2644316624905
1.791e+29 1800 None 285.08623267477986
1.791e+29 1900 None 380.2661113679649
1.791e+29 2000 None 503.4305588550554
2.0895000000000002e+29 300 None 77.29542732987237
2.0895000000000002e+29 400 None 63.780044928748545
2.0895000000000002e+29 500 None 50.342912687855446
2.0895000000000002e+29 600 None 36.74217867155643
2.0895000000000002e+29 700 None 24.240294615985565
2.0895000000000002e+29 800 None 14.264772467027171
2.0895000000000002e+29 900 None 7.801408109708757
2.0895000000000002e+29 1000 None 4.824842185110718
2.0895000000000002e+29 1100 None 5.287106385226334
2.0895000000000002e+29 1200 None 8.870135112453116
2.0895000000000002e+29 1300 None 15.366883623664519
2.0895000000000002e+29 1400 None 24.90039070539198
2.0895000000000002e+29 1500 None 37.78707249889401
2.0895000000000002e+29 1600 None 53.95638474857625
2.0895000000000002e+29 1700 None 74.774526709847
2.0895000000000002e+29 1800 None 101.17010865227998
2.0895000000000002e+29 1900 None 134.05340795428793
2.0895000000000002e+29 2000 None 174.2751369209043
2.3880000000000004e+29 300 None 81.04875122432202
2.3880000000000004e+29 400 None 68.88038376573388
2.3880000000000004e+29 500 None 56.7196780238727
2.3880000000000004e+29 600 None 44.21307365860369
2.3880000000000004e+29 700 None 32.33767004785179
2.3880000000000004e+29 800 None 22.237877437462572
2.3880000000000004e+29 900 None 14.762302071105093
2.3880000000000004e+29 1000 None 9.754600052493457
2.3880000000000004e+29 1100 None 7.19778184855265
