# mass(g) temperature(K) clouds reduced_chi_squared
5.970000000000001e+28 300 None 43.88574033484946
5.970000000000001e+28 400 None 89.07165102425856
5.970000000000001e+28 500 None 186.57456500801283
5.970000000000001e+28 600 None 418.02801737860085
5.970000000000001e+28 700 None 963.8769914296201
5.970000000000001e+28 800 None 50
5.970000000000001e+28 900 None 50
5.970000000000001e+28 1000 None 50
5.970000000000001e+28 1100 None 50
5.970000000000001e+28 1200 None 50
5.970000000000001e+28 1300 None 50
5.970000000000001e+28 1400 None 50
5.970000000000001e+28 1500 None 50
5.970000000000001e+28 1600 None 50
5.970000000000001e+28 1700 None 50
5.970000000000001e+28 1800 None 50
5.970000000000001e+28 1900 None 50
5.970000000000001e+28 2000 None 50
1.1940000000000002e+29 300 None 10.01877493250726
1.1940000000000002e+29 400 None 14.925439681901778
1.1940000000000002e+29 500 None 24.91463593898494
1.1940000000000002e+29 600 None 45.123274855007836
1.1940000000000002e+29 700 None 80.75942462095504
1.1940000000000002e+29 800 None 50
1.1940000000000002e+29 900 None 50
1.1940000000000002e+29 1000 None 50
1.1940000000000002e+29 1100 None 50
1.1940000000000002e+29 1200 None 50
1.1940000000000002e+29 1300 None 50
1.1940000000000002e+29 1400 None 50
1.1940000000000002e+29 1500 None 50
1.1940000000000002e+29 1600 None 50
1.1940000000000002e+29 1700 None 50
1.1940000000000002e+29 1800 None 50
1.1940000000000002e+29 1900 None 50
1.1940000000000002e+29 2000 None 50
1.791e+29 300 None 5.969491672382824
1.791e+29 400 None 6.7045472093636675
1.791e+29 500 None 8.616156198046179
1.791e+29 600 None 13.366974640498105
1.791e+29 700 None 22.486240387692337
1.791e+29 800 None 37.0015890326956
1.791e+29 900 None 56.91730877470258
1.791e+29 1000 None 50
1.791e+29 1100 None 50
1.791e+29 1200 None 50
1.791e+29 1300 None 50
1.791e+29 1400 None 50
1.791e+29 1500 None 50
1.791e+29 1600 None 50
1.791e+29 1700 None 50
1.791e+29 1800 None 50
1.791e+29 1900 None 50
1.791e+29 2000 None 50
2.3880000000000004e+29 300 None 5.2121223539345065
2.3880000000000004e+29 400 None 4.711686971273455
2.3880000000000004e+29 500 None 4.848299522476134
2.3880000000000004e+29 600 None 6.278107984520403
2.3880000000000004e+29 700 None 9.361263988303737
2.3880000000000004e+29 800 None 14.706701332199348
2.3880000000000004e+29 900 None 22.19264401738517
2.3880000000000004e+29 1000 None 31.909023165769998
2.3880000000000004e+29 1100 None 43.2214521712582
2.3880000000000004e+29 1200 None 55.94015454277797
2.3880000000000004e+29 1300 None 50
2.3880000000000004e+29 1400 None 50
2.3880000000000004e+29 1500 None 50
2.3880000000000004e+29 1600 None 50
2.3880000000000004e+29 1700 None 50
2.3880000000000004e+29 1800 None 50
2.3880000000000004e+29 1900 None 50
2.3880000000000004e+29 2000 None 50
2.9850000000000003e+29 300 None 5.188165017757033
2.9850000000000003e+29 400 None 4.30385903615545
2.9850000000000003e+29 500 None 3.7470040364480477
2.9850000000000003e+29 600 None 3.8659397271052454
2.9850000000000003e+29 700 None 5.0233536337125235
2.9850000000000003e+29 800 None 7.463366150227661
2.9850000000000003e+29 900 None 10.90156001719343
2.9850000000000003e+29 1000 None 15.424137363321385
2.9850000000000003e+29 1100 None 20.668253903390376
2.9850000000000003e+29 1200 None 26.4360357679137
2.9850000000000003e+29 1300 None 32.616771706456596
2.9850000000000003e+29 1400 None 39.20659591363385
2.9850000000000003e+29 1500 None 46.229456043139685
2.9850000000000003e+29 1600 None 53.74537692223746
2.9850000000000003e+29 1700 None 50
2.9850000000000003e+29 1800 None 50
2.9850000000000003e+29 1900 None 50
2.9850000000000003e+29 2000 None 50
3.582e+29 300 None 5.350395678397795
3.582e+29 400 None 4.351324814698601
3.582e+29 500 None 3.538589101486673
3.582e+29 600 None 3.1182499317000394
3.582e+29 700 None 3.3383735725098775
3.582e+29 800 None 4.376578569933333
3.582e+29 900 None 6.14806063924779
3.582e+29 1000 None 8.652697560362467
3.582e+29 1100 None 11.56249304526891
3.582e+29 1200 None 14.601546278882049
3.582e+29 1300 None 17.808006769187074
3.582e+29 1400 None 21.158043567102908
3.582e+29 1500 None 24.64608704053118
3.582e+29 1600 None 28.28495128246547
3.582e+29 1700 None 32.150870726836075
3.582e+29 1800 None 36.26041313266977
3.582e+29 1900 None 40.578248737635626
3.582e+29 2000 None 45.18599515756703
4.1790000000000005e+29 300 None 5.553326252728834
4.1790000000000005e+29 400 None 4.539227172094989
4.1790000000000005e+29 500 None 3.63778420875315
4.1790000000000005e+29 600 None 2.9790778390648787
4.1790000000000005e+29 700 None 2.7486672407313817
4.1790000000000005e+29 800 None 3.089843623800522
4.1790000000000005e+29 900 None 3.9580223972538637
4.1790000000000005e+29 1000 None 5.345074674680464
4.1790000000000005e+29 1100 None 7.019815343592734
4.1790000000000005e+29 1200 None 8.863051830555822
4.1790000000000005e+29 1300 None 10.822148999453182
4.1790000000000005e+29 1400 None 12.833853777360218
4.1790000000000005e+29 1500 None 14.810031507875493
4.1790000000000005e+29 1600 None 16.80971942990916
4.1790000000000005e+29 1700 None 18.90608139206875
4.1790000000000005e+29 1800 None 21.102341685710577
4.1790000000000005e+29 1900 None 23.378185259952687
4.1790000000000005e+29 2000 None 25.76594624707016
4.776000000000001e+29 300 None 5.753080200873489
4.776000000000001e+29 400 None 4.763541067058552
4.776000000000001e+29 500 None 3.844498349462166
4.776000000000001e+29 600 None 3.08137382909609
4.776000000000001e+29 700 None 2.6211880086884003
4.776000000000001e+29 800 None 2.5859958741308553
4.776000000000001e+29 900 None 2.9575233789889843
4.776000000000001e+29 1000 None 3.725867929962032
4.776000000000001e+29 1100 None 4.720143886585046
4.776000000000001e+29 1200 None 5.8451773493894015
4.776000000000001e+29 1300 None 7.053908865090703
4.776000000000001e+29 1400 None 8.291955668283277
4.776000000000001e+29 1500 None 9.566793008282598
4.776000000000001e+29 1600 None 10.853961504970494
4.776000000000001e+29 1700 None 12.201801364922536
4.776000000000001e+29 1800 None 13.551042633571914
4.776000000000001e+29 1900 None 14.87620003258285
4.776000000000001e+29 2000 None 16.24994400979296
5.373e+29 300 None 5.936617150810105
5.373e+29 400 None 4.987085563300523
5.373e+29 500 None 4.082295099167015
5.373e+29 600 None 3.2795724741348913
5.373e+29 700 None 2.700072465771353
5.373e+29 800 None 2.4510534915610482
5.373e+29 900 None 2.53157015780731
5.373e+29 1000 None 2.9318583744301083
5.373e+29 1100 None 3.5221733163734146
5.373e+29 1200 None 4.225007988211829
5.373e+29 1300 None 4.998090223149277
5.373e+29 1400 None 5.794572586174567
5.373e+29 1500 None 6.617760743160246
5.373e+29 1600 None 7.4431847452662065
5.373e+29 1700 None 8.307522595176012
5.373e+29 1800 None 9.211798815377902
5.373e+29 1900 None 10.115706046395827
5.373e+29 2000 None 11.061373058037773
5.970000000000001e+28 300 0.001 5.114325295182725
5.970000000000001e+28 400 0.001 6.8639170493835895
5.970000000000001e+28 500 0.001 31.647220655840933
5.970000000000001e+28 600 0.001 141.9176693782043
5.970000000000001e+28 700 0.001 501.2049838885112
5.970000000000001e+28 800 0.001 50
5.970000000000001e+28 900 0.001 50
5.970000000000001e+28 1000 0.001 50
5.970000000000001e+28 1100 0.001 50
5.970000000000001e+28 1200 0.001 50
5.970000000000001e+28 1300 0.001 50
5.970000000000001e+28 1400 0.001 50
5.970000000000001e+28 1500 0.001 50
5.970000000000001e+28 1600 0.001 50
5.970000000000001e+28 1700 0.001 50
5.970000000000001e+28 1800 0.001 50
5.970000000000001e+28 1900 0.001 50
5.970000000000001e+28 2000 0.001 50
1.1940000000000002e+29 300 0.001 6.198058830497372
1.1940000000000002e+29 400 0.001 4.161991819215321
1.1940000000000002e+29 500 0.001 2.675320806307207
1.1940000000000002e+29 600 0.001 5.448728433141104
1.1940000000000002e+29 700 0.001 18.53128511474941
1.1940000000000002e+29 800 0.001 49.613899749556516
1.1940000000000002e+29 900 0.001 108.93878530430214
1.1940000000000002e+29 1000 0.001 50
1.1940000000000002e+29 1100 0.001 50
1.1940000000000002e+29 1200 0.001 50
1.1940000000000002e+29 1300 0.001 50
1.1940000000000002e+29 1400 0.001 50
1.1940000000000002e+29 1500 0.001 50
1.1940000000000002e+29 1600 0.001 50
1.1940000000000002e+29 1700 0.001 50
1.1940000000000002e+29 1800 0.001 50
1.1940000000000002e+29 1900 0.001 50
1.1940000000000002e+29 2000 0.001 50
1.791e+29 300 0.001 6.911705084716424
1.791e+29 400 0.001 5.375007819957616
1.791e+29 500 0.001 3.4193625459672945
1.791e+29 600 0.001 2.0623560154270213
1.791e+29 700 0.001 3.042550839226659
1.791e+29 800 0.001 8.368350060775123
1.791e+29 900 0.001 19.386219080262503
1.791e+29 1000 0.001 37.82658975613839
1.791e+29 1100 0.001 64.84775138027811
1.791e+29 1200 0.001 50
1.791e+29 1300 0.001 50
1.791e+29 1400 0.001 50
1.791e+29 1500 0.001 50
1.791e+29 1600 0.001 50
1.791e+29 1700 0.001 50
1.791e+29 1800 0.001 50
