# mass(g) temperature(K) clouds reduced_chi_squared
1.194e+28 300 None 102377232.86846663
1.194e+28 400 None 1608307640.2372818
1.194e+28 500 None 1473581060.231224
1.194e+28 600 None 43327506900.34807
1.194e+28 700 None 1395173807.6403668
1.194e+28 800 None 213172903.22614613
1.194e+28 900 None 221763579.43051073
1.194e+28 1000 None 15675051.645577481
1.194e+28 1100 None 2303223.771174998
1.194e+28 1200 None 150290.07674045503
1.194e+28 1300 None 12770.69096390739
1.194e+28 1400 None 2154.8146292317924
1.194e+28 1500 None 2213.494665064426
1.194e+28 1600 None 2212.932907861835
1.194e+28 1700 None 2213.553498424931
1.194e+28 1800 None 2213.747611604832
1.194e+28 1900 None 2213.7476083339493
1.194e+28 2000 None 2213.7476116130497
2.388e+28 300 None 990.8566664658773
2.388e+28 400 None 635.8053400877606
2.388e+28 500 None 388901.3303687259
2.388e+28 600 None 1271016405.1848118
2.388e+28 700 None 9505732448644.93
2.388e+28 800 None 9723016487.483643
2.388e+28 900 None 445628933.01354265
2.388e+28 1000 None 2509132387.7877483
2.388e+28 1100 None 604469215.2093041
2.388e+28 1200 None 1159361509.0464418
2.388e+28 1300 None 45506345.444886155
2.388e+28 1400 None 6273531.189664938
2.388e+28 1500 None 459300.5836846245
2.388e+28 1600 None 15673.692842119626
2.388e+28 1700 None 2137.5364517908615
2.388e+28 1800 None 2213.5704946096753
2.388e+28 1900 None 2213.739466559605
2.388e+28 2000 None 2213.747188791241
3.5820000000000003e+28 300 None 1368.014458534875
3.5820000000000003e+28 400 None 863.6104827243894
3.5820000000000003e+28 500 None 272.138478872425
3.5820000000000003e+28 600 None 1623.8652460847322
3.5820000000000003e+28 700 None 72704.01701828433
3.5820000000000003e+28 800 None 53205372603.14235
3.5820000000000003e+28 900 None 4101070222.7347565
3.5820000000000003e+28 1000 None 32380198020.620117
3.5820000000000003e+28 1100 None 939644242.7011259
3.5820000000000003e+28 1200 None 10282606665.83617
3.5820000000000003e+28 1300 None 6976714329.667629
3.5820000000000003e+28 1400 None 499384305.5683319
3.5820000000000003e+28 1500 None 362931066.9179865
3.5820000000000003e+28 1600 None 59899582.32917576
3.5820000000000003e+28 1700 None 6305304.140450195
3.5820000000000003e+28 1800 None 2310.376414300861
3.5820000000000003e+28 1900 None 29418.236669334445
3.5820000000000003e+28 2000 None 2071.118756038087
4.776e+28 300 None 1566.69759871306
4.776e+28 400 None 1211.7242156382722
4.776e+28 500 None 748.551764349734
4.776e+28 600 None 234.0872880615329
4.776e+28 700 None 232.75832662808722
4.776e+28 800 None 4439.305061570665
4.776e+28 900 None 54579.710740982184
4.776e+28 1000 None 2790923.4331062166
4.776e+28 1100 None 17711259767.655846
4.776e+28 1200 None 6757775646.442247
4.776e+28 1300 None 9204030480.598093
4.776e+28 1400 None 1809539206450.8
4.776e+28 1500 None 770083189.0161158
4.776e+28 1600 None 4728876206.422334
4.776e+28 1700 None 2624.586419926813
4.776e+28 1800 None 97133111.02980974
4.776e+28 1900 None 689493.4149695699
4.776e+28 2000 None 3979788.7356743943
5.970000000000001e+28 300 None 1688.9358529139533
5.970000000000001e+28 400 None 1415.3365112327665
5.970000000000001e+28 500 None 1069.9669368664806
5.970000000000001e+28 600 None 645.7676167059127
5.970000000000001e+28 700 None 221.4339646005218
5.970000000000001e+28 800 None 61.55903821899125
5.970000000000001e+28 900 None 1088.2187467606743
5.970000000000001e+28 1000 None 7551.06719065196
5.970000000000001e+28 1100 None 47871.68284106263
5.970000000000001e+28 1200 None 561432.0885449866
5.970000000000001e+28 1300 None 138654431.21536845
5.970000000000001e+28 1400 None 31485717141.729004
5.970000000000001e+28 1500 None 8263753763.5365715
5.970000000000001e+28 1600 None 46686904936.06963
5.970000000000001e+28 1700 None 16819109644.819725
5.970000000000001e+28 1800 None 1663214677.5445883
5.970000000000001e+28 1900 None 2630814255.7744465
5.970000000000001e+28 2000 None 1083492635.9593608
7.1640000000000006e+28 300 None 1771.96376082932
7.1640000000000006e+28 400 None 1549.0130419065918
7.1640000000000006e+28 500 None 1275.9952231625355
7.1640000000000006e+28 600 None 941.0111839973496
7.1640000000000006e+28 700 None 571.0086789214022
7.1640000000000006e+28 800 None 228.04332928664195
7.1640000000000006e+28 900 None 50.17218335684885
7.1640000000000006e+28 1000 None 389.1110397902515
7.1640000000000006e+28 1100 None 2306.1681388641696
7.1640000000000006e+28 1200 None 9753.813725144379
7.1640000000000006e+28 1300 None 41820.35403854078
7.1640000000000006e+28 1400 None 253001.4747306115
7.1640000000000006e+28 1500 None 4646362.19470729
7.1640000000000006e+28 1600 None 165956286019.01254
7.1640000000000006e+28 1700 None 5548772762.6186905
7.1640000000000006e+28 1800 None 8769206549.538485
7.1640000000000006e+28 1900 None 2976814629.7856617
7.1640000000000006e+28 2000 None 21360028150.595436
8.358e+28 300 None 1832.1352844376931
8.358e+28 400 None 1643.7948582180736
8.358e+28 500 None 1418.4982074352422
8.358e+28 600 None 1145.297805888837
8.358e+28 700 None 839.4755162250023
8.358e+28 800 None 528.1426038931822
8.358e+28 900 None 253.5170437791374
8.358e+28 1000 None 85.46413702305304
8.358e+28 1100 None 182.79979300576474
8.358e+28 1200 None 926.3550183445107
8.358e+28 1300 None 3360.9137853284133
8.358e+28 1400 None 10780.333445105214
8.358e+28 1500 None 35776.93002039888
8.358e+28 1600 None 147477.5224566836
8.358e+28 1700 None 1073152.441299353
8.358e+28 1800 None 46079759.36121239
8.358e+28 1900 None 306491459029.5696
8.358e+28 2000 None 106701119959.20978
9.552e+28 300 None 1877.788097871839
9.552e+28 400 None 1714.6407037839174
9.552e+28 500 None 1522.9812883806148
9.552e+28 600 None 1293.3364867587973
9.552e+28 700 None 1036.890333840399
9.552e+28 800 None 770.7308181634836
9.552e+28 900 None 515.6758193520085
9.552e+28 1000 None 291.1298945942661
9.552e+28 1100 None 138.1561144286814
9.552e+28 1200 None 134.5463591333684
9.552e+28 1300 None 443.11862105251276
9.552e+28 1400 None 1441.753665911999
9.552e+28 1500 None 4055.4250615301426
9.552e+28 1600 None 10842.606167738179
9.552e+28 1700 None 30057.71708671152
9.552e+28 1800 None 96388.308515443
