#wave spectrum spectrum_w_rand error_w_floor
2.8705440656200856 0.007297439375225146 0.00745038043020967 0.0001331229313121461
2.871219918514831 0.007286206722119494 0.007329273021128655 0.0001323039046911352
2.871895763808353 0.007535972102293344 0.007553092445019293 0.0001319369404007327
2.8725715630920616 0.007785720479081249 0.00765756789033978 0.00013157296879345073
2.87324736237577 0.008035468855868795 0.007986743131214056 0.0001312117309850798
2.8739231616594787 0.008285217232656556 0.008437906480157626 0.000130853180835196
2.874598972880794 0.008534970021106175 0.008475463183291204 0.0001304954811462191
2.87527481269201 0.007261988614164645 0.00727140530147518 0.0001300219167349458
2.875950652503226 0.0071517598323888685 0.007169940088436657 0.00012956336278336725
2.876626492314442 0.007524945522538451 0.007380712446538774 0.00012913333023207367
2.8773023092070065 0.007460057142066768 0.0075347226095383085 0.00012882295312220633
2.8779780977695286 0.007371601179362809 0.00737767002717236 0.00012852175838969478
2.8786538863320503 0.007303599544271316 0.007319296712192201 0.00012825436772183677
2.879329674894572 0.007287938713819645 0.007557752184711406 0.00012806790141639904
2.880005450594114 0.007272278181456531 0.007058916758077167 0.00012788282057007655
2.880681217715283 0.007256617847890258 0.007299840691791367 0.00012769853550244174
2.881356984836452 0.007248157845332088 0.007513812502844367 0.0001275123276030583
2.8820327519576208 0.007340661669749959 0.007210058435995738 0.00012729132766646102
2.882708502945143 0.0074331632856793175 0.007364447321070727 0.00012707124383499194
2.8833842486263195 0.007525664175238302 0.007496764635094026 0.0001268522412351372
2.884059994307496 0.0076181650647970224 0.007693140994946601 0.00012663430273753982
2.884735739988672 0.007710665954355847 0.007780908543874404 0.00012641742839754753
2.885411437168953 0.007803160204766225 0.007877705500592226 0.00012620161437282588
2.8860871292561 0.007895653757991948 0.00801990636847881 0.0001259868485871281
2.886762821343247 0.007988147311217724 0.008164125975848157 0.00012577311721422135
2.887438515745513 0.008002452903386758 0.008060190867169722 0.00012556860121661507
2.8881142483571396 0.007534491719992316 0.0076072636553372736 0.00012540493406355477
2.8887899809687663 0.007507869149246918 0.007193691702386289 0.00012518704700133446
2.8894657135803925 0.007481246578501661 0.007368411455523667 0.00012497021780646627
2.8901414354738035 0.007454624430033381 0.007637839117613866 0.00012475453906604097
2.8908171168431647 0.007428003878135248 0.007516660976585009 0.00012454009105795536
2.891492798212526 0.007371573746492595 0.007352143057756051 0.00012434407847812103
2.892168479581887 0.007125539579583064 0.00717769044846632 0.00012425517891597308
2.89284415320765 0.0068795082323305804 0.006935904728562092 0.00012416700713723837
2.8935198131424595 0.00675981043637801 0.006884126357867899 0.00012404870763119269
2.894195473077269 0.006832495657820769 0.006775060450663595 0.00012388481510494542
2.8948711330120784 0.006905180879263477 0.006891057206832798 0.00012372134899703548
2.8955467819464173 0.006977864917312684 0.007043397042975287 0.00012355849386942616
2.8962224204480354 0.007050547833044779 0.007023455526074537 0.00012339625059929653
2.896898058949653 0.007123230748776995 0.0069368268026946825 0.00012323460948096042
2.897573697451271 0.007195913664509181 0.0072929969055535865 0.0001230735619618897
2.8982493003188003 0.007268592746845959 0.00744081814565763 0.00012291429091464132
2.8989248852433875 0.007762849549855309 0.007796232527030031 0.00012289007002785096
2.899600470167975 0.007629153089825616 0.007783841360919597 0.00012269091077072225
2.9002760550925624 0.007495456629795977 0.007544035451762774 0.00012251096193946717
2.900951673109009 0.007361753620975326 0.007159671013660572 0.00012236014054814952
2.901627298555048 0.0072280491418581375 0.007494962520122606 0.00012221017362143286
2.9023029240010874 0.00722329946524013 0.007227153841038537 0.00012205714099543921
2.9029785494471265 0.007340731101480865 0.0073065211348888924 0.00012190119430439023
2.9036541252928463 0.007458154116603674 0.007350195332750895 0.00012174584800661268
2.904329699503047 0.0075755768474542 0.007686614219323205 0.00012159104063250971
2.905005273713248 0.007692999578304495 0.007652225193302157 0.0001214367726298221
2.905680845361378 0.00781042186383688 0.008052502130240063 0.00012128286435611143
2.906356398143825 0.007914148399553234 0.007874032752384727 0.00012110464031957353
2.9070319509262723 0.00794623396412558 0.007834932110071028 0.00012080237531939781
2.90770750370872 0.00797831952869848 0.008126159396392519 0.00012050146254091773
2.9083830506860058 0.008010404817553744 0.007800664440167204 0.00012020276326700185
2.909058582042059 0.008042489364473923 0.007916614506168845 0.0001199062518954492
2.909734113398112 0.0080745739113942 0.007885305887398256 0.00011961189426318983
2.910409644754165 0.008106658458314452 0.008287091298118542 0.00011931829429554246
2.9110851670649933 0.0068472269183916246 0.006771391274388688 0.0001189411145313346
2.9117606769960114 0.006862559691986478 0.006708553730897319 0.00011877283476349141
2.9124361869270294 0.006877892465581589 0.006743371490710653 0.00011860738709078999
2.9131116968580475 0.006893225239176359 0.006797599505993838 0.00011844321152425633
2.91378718222532 0.00687969111560401 0.0067165595745765725 0.0001183704067970925
2.9144626493103445 0.0068567296273456795 0.007041227481946843 0.00011832787743306942
2.915138116395369 0.006833768139087177 0.00684770662833249 0.00011828558561488856
2.9158135834803938 0.006810806650829175 0.006700141414698638 0.00011824334591055661
2.916489079907918 0.0067878441651165276 0.006822547775782456 0.00011820107808097786
2.917164587511064 0.0068310411232265856 0.006817802776886246 0.00011814210657604527
2.91784009511421 0.006896824429759477 0.006749066216778118 0.00011807744517092909
2.9185156027173558 0.00696260773629195 0.006959325016504978 0.0001180128514009172
2.9191910654984543 0.007028386677896022 0.007003895036354266 0.00011794835329174814
2.91986652187283 0.007094164995591401 0.007125005096018425 0.00011788394840308175
2.9205419782472055 0.007159943313285895 0.007201505794251592 0.00011781964010738327
