# mass(g) temperature(K) clouds reduced_chi_squared
2.9850000000000005e+28 300 None 146.36725782336387
2.9850000000000005e+28 400 None 530.2604952665209
2.9850000000000005e+28 500 None 3637.544717496856
2.9850000000000005e+28 600 None 135644.8468360564
2.9850000000000005e+28 700 None 7618677258.500815
2.9850000000000005e+28 800 None 27027902165.061584
2.9850000000000005e+28 900 None 1578463862.937207
2.9850000000000005e+28 1000 None 11292479338.471785
2.9850000000000005e+28 1100 None 986532729.527875
2.9850000000000005e+28 1200 None 542494718.9967564
2.9850000000000005e+28 1300 None 1938503974.8461337
2.9850000000000005e+28 1400 None 36447298.46994502
2.9850000000000005e+28 1500 None 6264236.298417166
2.9850000000000005e+28 1600 None 1811436.7517917182
2.9850000000000005e+28 1700 None 166505.35052099894
2.9850000000000005e+28 1800 None 5084.465833869032
2.9850000000000005e+28 1900 None 71.9187627700531
2.9850000000000005e+28 2000 None 75.33091287046915
5.970000000000001e+28 300 None 31.898357609281987
5.970000000000001e+28 400 None 35.398797062725315
5.970000000000001e+28 500 None 75.29418835968576
5.970000000000001e+28 600 None 220.40240787275638
5.970000000000001e+28 700 None 636.4810965210949
5.970000000000001e+28 800 None 1755.441034358525
5.970000000000001e+28 900 None 4881.104384831771
5.970000000000001e+28 1000 None 15328.60547839703
5.970000000000001e+28 1100 None 65089.63999729905
5.970000000000001e+28 1200 None 613158.3897374907
5.970000000000001e+28 1300 None 138273476.65333113
5.970000000000001e+28 1400 None 31261242131.680695
5.970000000000001e+28 1500 None 8214403250.786006
5.970000000000001e+28 1600 None 46501745859.931625
5.970000000000001e+28 1700 None 16765252212.209831
5.970000000000001e+28 1800 None 1659518642.8701081
5.970000000000001e+28 1900 None 2626450782.9678006
5.970000000000001e+28 2000 None 1082730781.898496
8.955e+28 300 None 31.93004822813849
8.955e+28 400 None 20.843222466361183
8.955e+28 500 None 16.451543851097703
8.955e+28 600 None 28.554197112496436
8.955e+28 700 None 76.08060469947269
8.955e+28 800 None 184.5056422651016
8.955e+28 900 None 391.33728297492104
8.955e+28 1000 None 765.7118884259281
8.955e+28 1100 None 1422.96927436118
8.955e+28 1200 None 2607.84535092614
8.955e+28 1300 None 4837.432939348748
8.955e+28 1400 None 9374.26656818319
8.955e+28 1500 None 19613.91787649389
8.955e+28 1600 None 47011.14260988295
8.955e+28 1700 None 143204.90443895728
8.955e+28 1800 None 707501.647314227
8.955e+28 1900 None 11816035.385215184
8.955e+28 2000 None 177794409918.18707
1.1940000000000002e+29 300 None 37.61105211547125
1.1940000000000002e+29 400 None 25.03632855689848
1.1940000000000002e+29 500 None 14.60289711023841
1.1940000000000002e+29 600 None 9.424535015758604
1.1940000000000002e+29 700 None 14.830913560999571
1.1940000000000002e+29 800 None 37.44576073569748
1.1940000000000002e+29 900 None 83.60570559310574
1.1940000000000002e+29 1000 None 161.13302125887577
1.1940000000000002e+29 1100 None 279.3690251901172
1.1940000000000002e+29 1200 None 453.54086938301333
1.1940000000000002e+29 1300 None 708.458733660713
1.1940000000000002e+29 1400 None 1085.8054696621723
1.1940000000000002e+29 1500 None 1649.9248905042891
1.1940000000000002e+29 1600 None 2515.117994616156
1.1940000000000002e+29 1700 None 3878.3167250418583
1.1940000000000002e+29 1800 None 6113.084364922766
1.1940000000000002e+29 1900 None 9950.301038228397
1.1940000000000002e+29 2000 None 17034.767246780706
1.4925000000000001e+29 300 None 42.72615086571295
1.4925000000000001e+29 400 None 30.82830787561679
1.4925000000000001e+29 500 None 19.71721832045468
1.4925000000000001e+29 600 None 10.525648270777129
1.4925000000000001e+29 700 None 6.0799270253082165
1.4925000000000001e+29 800 None 9.387373883054877
1.4925000000000001e+29 900 None 21.81618596815698
1.4925000000000001e+29 1000 None 45.61165559972542
1.4925000000000001e+29 1100 None 81.90610977330982
1.4925000000000001e+29 1200 None 132.85566723897196
1.4925000000000001e+29 1300 None 201.04645595264753
1.4925000000000001e+29 1400 None 293.0101816504579
1.4925000000000001e+29 1500 None 414.7403141824403
1.4925000000000001e+29 1600 None 578.3599626864401
1.4925000000000001e+29 1700 None 798.3435513872433
1.4925000000000001e+29 1800 None 1097.6621474533656
1.4925000000000001e+29 1900 None 1507.6027474631487
1.4925000000000001e+29 2000 None 2080.9599338298217
1.791e+29 300 None 46.832688501478025
1.791e+29 400 None 35.954943875029336
1.791e+29 500 None 25.365326734550056
1.791e+29 600 None 15.461973680146587
1.791e+29 700 None 7.9901302202816336
1.791e+29 800 None 4.772179921982398
1.791e+29 900 None 6.737798161199068
1.791e+29 1000 None 14.556103624118137
1.791e+29 1100 None 27.650767725632335
1.791e+29 1200 None 46.374792380650874
1.791e+29 1300 None 71.41969059421383
1.791e+29 1400 None 103.92775768874587
1.791e+29 1500 None 144.96375101494965
1.791e+29 1600 None 196.64498266267165
1.791e+29 1700 None 262.44848077328606
1.791e+29 1800 None 345.32925408170235
1.791e+29 1900 None 449.97641363280826
1.791e+29 2000 None 583.1457853030445
2.0895000000000002e+29 300 None 50.10429159332522
2.0895000000000002e+29 400 None 40.21260220486717
2.0895000000000002e+29 500 None 30.39618441791301
2.0895000000000002e+29 600 None 20.727832964355073
2.0895000000000002e+29 700 None 12.438854773970043
2.0895000000000002e+29 800 None 6.8393335295737305
2.0895000000000002e+29 900 None 4.592078998401317
2.0895000000000002e+29 1000 None 5.916232363707
2.0895000000000002e+29 1100 None 10.49035920602465
2.0895000000000002e+29 1200 None 18.104790840547345
2.0895000000000002e+29 1300 None 28.564208728751666
2.0895000000000002e+29 1400 None 41.832919698266195
2.0895000000000002e+29 1500 None 58.583341302657146
2.0895000000000002e+29 1600 None 79.41153440569495
2.0895000000000002e+29 1700 None 105.23523538842521
2.0895000000000002e+29 1800 None 136.55256649789575
2.0895000000000002e+29 1900 None 174.3524031137566
2.0895000000000002e+29 2000 None 220.74267739230189
2.3880000000000004e+29 300 None 52.74247523642964
2.3880000000000004e+29 400 None 43.724173989995776
2.3880000000000004e+29 500 None 34.68243950593192
2.3880000000000004e+29 600 None 25.530374812006155
2.3880000000000004e+29 700 None 17.21085952380051
2.3880000000000004e+29 800 None 10.760462806332066
2.3880000000000004e+29 900 None 6.739184335499041
2.3880000000000004e+29 1000 None 5.202287721178318
2.3880000000000004e+29 1100 None 5.886625806136192
2.3880000000000004e+29 1200 None 8.498282212099939
2.3880000000000004e+29 1300 None 12.851968679989787
2.3880000000000004e+29 1400 None 18.842403149365147
2.3880000000000004e+29 1500 None 26.567945762885536
2.3880000000000004e+29 1600 None 35.74400383135255
2.3880000000000004e+29 1700 None 47.11111729200658
2.3880000000000004e+29 1800 None 60.97141996165803
2.3880000000000004e+29 1900 None 77.54171583742534
2.3880000000000004e+29 2000 None 97.47341386675578
2.6865e+29 300 None 54.90364671471519
2.6865e+29 400 None 46.64125422457267
2.6865e+29 500 None 38.308009920560245
2.6865e+29 600 None 29.734045618753438
2.6865e+29 700 None 21.680897506702404
2.6865e+29 800 None 15.016101300027676
2.6865e+29 900 None 10.248937897559669
2.6865e+29 1000 None 7.367859587656905
2.6865e+29 1100 None 6.183906624719251
2.6865e+29 1200 None 6.4067831041600005
2.6865e+29 1300 None 7.811276787600111
2.6865e+29 1400 None 10.232182832754324
2.6865e+29 1500 None 13.661022471672966
2.6865e+29 1600 None 18.092420176114985
2.6865e+29 1700 None 23.71621103013306
2.6865e+29 1800 None 30.414438564133377
2.6865e+29 1900 None 38.23064732593765
2.6865e+29 2000 None 47.601069247380885
2.9850000000000003e+29 300 None 56.70144920119289
